,team_1_name,team_2_name,bb1,rb1,bb2,rb2,bb3,rb3,bp1,rp1,rp2,bp2,bp3,rp3,rb4,bb4,rb5,bb5,rp4,bp4,bp5,rp5
0,C9,GG,Blitzcrank,Neeko,Vi,Draven,Khazix,Annie,Milio,Lucian,Ahri,Kindred,Zeri,Nami,Leblanc,MonkeyKing,Syndra,Poppy,Jax,Gragas,KSante,Ornn
2,GG,EG,Ahri,Neeko,Annie,Milio,Yuumi,Vi,KSante,Gragas,Aphelios,Lucian,Nami,Lulu,MonkeyKing,Viego,JarvanIV,Kindred,Jayce,Nautilus,Rumble,Sejuani
3,FLY,GG,Vi,Neeko,Milio,KSante,Lucian,Yuumi,Annie,Aphelios,Sejuani,Xayah,Rakan,Azir,MonkeyKing,Renekton,Kindred,Poppy,Lulu,Viego,Gragas,Yone
5,DIG,GG,Jayce,Neeko,Aphelios,Leblanc,Vi,Sejuani,Azir,Varus,Akali,Maokai,Ashe,Kindred,KSante,Sion,Thresh,Blitzcrank,Jax,Poppy,Milio,Rell
7,IMT,GG,Lucian,Neeko,Vi,Leblanc,Azir,Kindred,Annie,Varus,Sejuani,MonkeyKing,Aphelios,Jayce,Milio,Jax,Sion,Yone,Renekton,Ornn,Rakan,Rell
9,GG,TSM,Rakan,Leblanc,KSante,Neeko,Lucian,Kindred,Vi,Xayah,Maokai,Azir,Jax,Gragas,Varus,Renekton,Rell,Blitzcrank,Graves,Aphelios,Leona,Alistar
12,NRG,GG,Kindred,Neeko,Milio,Leblanc,MonkeyKing,Vi,Kaisa,Maokai,Tristana,Renekton,Rell,Jax,Sejuani,Alistar,Poppy,Rakan,Nautilus,Ivern,Jayce,Azir
14,100,GG,Tristana,Neeko,Vi,Leblanc,Kindred,KSante,Azir,Rakan,Sejuani,Maokai,Renekton,Yone,Kaisa,Jax,Jinx,Kennen,Aphelios,Xayah,Milio,Rumble
16,TL,GG,Azir,Kennen,Tristana,Leblanc,Kindred,Neeko,Vi,Aphelios,Viego,Varus,Ahri,Annie,Jax,Rumble,Rakan,Renekton,Rell,Renata,KSante,Poppy
17,TSM,GG,Kindred,Rakan,Aphelios,Sejuani,Rumble,Leblanc,Tristana,Ashe,Poppy,Maokai,Renekton,Sylas,Kaisa,Milio,Karma,Rell,KSante,Jinx,Braum,Zac
19,FLY,GG,Rumble,Rakan,Tristana,Ivern,Leblanc,Poppy,Sejuani,Aphelios,Kindred,Azir,Milio,Sylas,Ashe,Blitzcrank,Jinx,Kennen,Nautilus,Xayah,Renekton,KSante
20,GG,C9,Milio,Tristana,Rakan,Rumble,Kindred,Ivern,Leblanc,Annie,Renekton,Aphelios,KSante,Draven,Alistar,Renata,Poppy,Rell,Viego,Braum,JarvanIV,Soraka
22,GG,EG,Ivern,Rumble,Sejuani,Poppy,Tristana,Aphelios,Leblanc,Kaisa,Rell,Xayah,Rakan,Renekton,Jax,Ahri,Kennen,Jayce,Draven,KSante,Vi,Milio
25,IMT,GG,Jayce,Neeko,Leblanc,Kindred,Tristana,Kaisa,Poppy,Aphelios,Jax,Rell,Jinx,Maokai,Renekton,Yone,Milio,Alistar,Azir,Ziggs,Nautilus,Renata
26,GG,NRG,Ivern,Rumble,Sejuani,Leblanc,Rell,Jayce,Kaisa,Xayah,Poppy,Nautilus,Jax,Azir,Nocturne,Rakan,Viego,Renekton,Gangplank,Yone,Leona,Alistar
28,GG,TL,Ziggs,Leblanc,Poppy,Jayce,Kaisa,Tristana,Rell,Aphelios,Rumble,Ashe,Azir,Thresh,Milio,LeeSin,Renekton,Kindred,Viktor,Viego,Jax,Vi
31,GG,DIG,Ivern,Leblanc,Poppy,Rumble,Tristana,Jayce,Kaisa,Rell,Sejuani,Rakan,Kindred,Azir,Yone,Xayah,Sylas,Aphelios,Varus,Jax,Taliyah,KSante
32,100,GG,Rell,Viego,Tristana,Kaisa,Rumble,Leblanc,Rakan,Xayah,Jax,KSante,Azir,Leona,Poppy,Taliyah,Varus,Yone,Ahri,Zeri,Sejuani,Vi
34,GG,C9,Ivern,Jax,Xayah,Vi,Tristana,Leblanc,Kaisa,Kindred,Ashe,Rell,Jayce,Milio,Blitzcrank,Rumble,Khazix,Kennen,KSante,Gwen,Nautilus,Ahri
38,GG,NRG,Ivern,Vi,Poppy,Jax,Tristana,Leblanc,Jayce,Kaisa,Maokai,Sejuani,Rumble,KSante,Xayah,Rell,Ezreal,Rakan,Azir,Zeri,Nautilus,Trundle
39,NRG,GG,Jax,Ivern,Rumble,Azir,Vi,Leblanc,Kaisa,Tristana,Maokai,Jayce,Renekton,KSante,Lillia,Rakan,Sejuani,Ahri,Viego,Rell,Nidalee,Lissandra
40,GG,NRG,Ivern,Vi,Tristana,Leblanc,Jayce,Jax,Kaisa,Xayah,Azir,Rakan,Rumble,KSante,Yone,Poppy,Nocturne,Rell,Nautilus,JarvanIV,Taliyah,Sejuani
41,GG,NRG,Ivern,Vi,Tristana,Leblanc,Jayce,Rumble,Kaisa,Rakan,Azir,Poppy,Taliyah,Xayah,Rell,Sejuani,Jax,Maokai,Viego,JarvanIV,Amumu,Gangplank
42,GG,DIG,Ivern,Rumble,Rakan,Leblanc,Tristana,Kaisa,Rell,Sejuani,Xayah,Azir,Renekton,KSante,Zeri,Ziggs,Ezreal,Nautilus,Xerath,Aphelios,Nocturne,Alistar
43,DIG,GG,Rumble,Ivern,Azir,Rakan,Leblanc,Kaisa,Tristana,Jayce,Maokai,Sejuani,KSante,Renekton,Ziggs,Rell,Braum,Aphelios,Ezreal,Zeri,Nautilus,Leona
44,DIG,GG,Rumble,Ivern,Leblanc,Rakan,Renekton,Tristana,Kaisa,Maokai,Jayce,Sejuani,Azir,Ezreal,Aatrox,Braum,Jax,Poppy,KSante,Fiora,Rell,Nautilus
48,GG,TL,Ziggs,Leblanc,Xayah,Jayce,Tristana,Azir,Neeko,Kaisa,Viego,Nocturne,KSante,Ahri,Aphelios,Rell,Zeri,Rakan,Fiora,Ezreal,Leona,Alistar
49,GG,TL,Ziggs,Jayce,Poppy,Leblanc,Cassiopeia,Xayah,Tristana,Kaisa,Rell,Maokai,Rumble,Neeko,Ezreal,Nocturne,Aphelios,Sejuani,Aatrox,Zeri,Rakan,Viego
50,GG,TL,Ziggs,Leblanc,Poppy,Jayce,Cassiopeia,Azir,Tristana,Kaisa,Viego,Xayah,Rakan,Neeko,Rumble,Rell,Maokai,Renekton,Nautilus,KSante,Sejuani,Jax
51,TL,GG,Leblanc,Ziggs,Jayce,Tristana,Azir,Neeko,Kindred,Rakan,Kaisa,Ashe,Milio,Khazix,Cassiopeia,Jax,Lissandra,Taliyah,KSante,Ahri,Ornn,Sylas
52,GG,TL,Ziggs,Leblanc,Poppy,Jayce,Cassiopeia,Xayah,Tristana,Kaisa,Viego,Sejuani,KSante,Neeko,Zeri,Jax,Azir,Renekton,Rell,Ezreal,Braum,Gwen
